"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2005.22,"Yes",3,21,2005,"Red Lake","MN","Jeffrey Weise","School and private home",12,7,5,2,2,0,"Partly",12863,0,1,TRUE,"Perpetrator murdered his grandfather, who was a police officer, and grandfathers girlfriend. Weise then drove his grandfathers squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people, and wounding five.",""," http://bit.ly/2S5nfss"," http://bit.ly/2UWubtO"," http://bit.ly/2ECMlMf","","","","","","","","","",""
2005.19,"Yes",3,12,2005,"Brookfield","WI","Terry Michael Ratzmann","Public place(s)",11,7,4,0,0,0,"Yes",12854,0,1,TRUE,"Perpetrator opened fire at a meeting of his church congregation, killing seven and wounding four.",""," http://bit.ly/2QCSEpn"," http://bit.ly/2LpbD0I"," http://bit.ly/2PMEZXu","","","","","","","","","",""
2004.94,"Yes",12,8,2004,"Columbus","OH","Nathan Gale","Public place(s)",7,4,3,0,0,0,"No",12760,0,1,FALSE,"The perpetrator gunned down former Pantera guitarist Dimebag Darrell and three others at a concert, wounding seven more.",""," http://bit.ly/2GvmxDx"," https://on.mtv.com/2Lv1DDq"," https://nyti.ms/2EHjrdM"," https://nyti.ms/2EFBXTE"," http://bit.ly/2EAG8Ac"," http://bit.ly/2A9EiT7"," http://bit.ly/2LqcfTW","","","","","",""
2004.5,"Yes",7,3,2004,"Kansas City","KS","Elijah Brown","Workplace",7,5,2,0,0,0,"Yes",12602,1,0,FALSE,"Perpetrator shot five co-workers at a meat packing plant, and wounded two others.",""," http://bit.ly/2ScSge6"," https://nyti.ms/2UXM2Ak"," https://nbcnews.to/2UWKmar","","","","","","","","","",""
2003.81,"Yes",10,24,2003,"Oldtown","ID","Ralph R. Reeves","Public place(s)",4,4,0,0,0,0,"Yes",12349,1,0,FALSE,"The perpetrator shot his ex-girlfriend and three other people in a bar after a verbal altercation.",""," http://bit.ly/2R57K6t"," http://bit.ly/2T0FDmh","","","","","","","","","","",""
2003.65,"Yes",8,27,2003,"Chicago","IL","Salvador Tapia","Workplace",6,6,0,0,0,0,"Yes",12291,1,1,FALSE,"The perpetrator shot and killed six co-workers at an auto parts warehouse.",""," http://bit.ly/2BwWKoN","","","","","","","","","","","",""
2003.52,"Yes",7,8,2003,"Meridian","MS","Douglas Williams","Workplace",14,6,8,0,0,0,"Yes",12241,1,1,FALSE,"The perpetrator opened fire at his Lockheed Martin workplace, killing six co-workers and wounding eight.",""," https://nyti.ms/2R67S5x"," https://nyti.ms/2GuFO7T"," https://abcn.ws/2CougyQ"," http://bit.ly/2Gw1nVK","","","","","","","","",""
2002.22,"Yes",3,22,2002,"South Bend","IN","William Lockey","Workplace",6,4,2,0,0,0,"Yes",11768,1,1,FALSE,"The perpetrator killed four co-workers and wounded two others at an aircraft parts manufacturing plant.",""," https://trib.in/2QGTwsX"," http://bit.ly/2SYzsim","","","","","","","","","","",""
2001.69,"Yes",9,9,2001,"Sacramento","CA","Joseph Ferguson","Public place(s) and private home(s)",6,4,2,1,1,0,"Yes",11574,1,1,TRUE,"The perpetrator killed his girlfriend and four former co-workers in several locations, and wounded a police officer and a passing motorist.",""," https://lat.ms/2STOVjK"," http://bit.ly/2rNLVdu"," http://bit.ly/2UVNjIi","","","","","","","","","",""
2001.1,"Yes",2,5,2001,"Melrose Park","IL","William Baker","Workplace",8,4,4,0,0,0,"Yes",11358,1,1,TRUE,"The perpetrator opened fire at his former Navistar workplace, killing five and wounding four.",""," https://trib.in/2UVjyap","","","","","","","","","","","",""
2001.02,"Yes",1,9,2001,"Houston","TX","Ki Yung Park","Public place(s)",4,4,0,0,0,0,"Yes",11331,1,0,FALSE,"The perpetrator killed his wife at their store, then went to another market and killed three people who worked there.",""," http://bit.ly/2LrSlIi"," https://lat.ms/2SX24bS","","","","","","","","","","",""
